"","Major","Gender","Admission"
"5390","Other","M","Accepted"
"5391","F","M","Rejected"
"5392","Other","M","Accepted"
"5393","Other","F","Rejected"
"5394","Other","F","Rejected"
"5395","Other","F","Rejected"
"5396","Other","M","Rejected"
"5397","A","M","Accepted"
"5398","Other","M","Rejected"
"5399","Other","F","Accepted"
"5400","D","M","Rejected"
"5401","D","F","Accepted"
"5402","B","M","Rejected"
"5403","D","F","Accepted"
"5404","Other","F","Rejected"
"5405","Other","F","Rejected"
"5406","A","M","Accepted"
"5407","Other","M","Rejected"
"5408","A","M","Accepted"
"5409","Other","M","Rejected"
"5410","Other","M","Accepted"
"5411","D","F","Rejected"
"5412","Other","F","Rejected"
"5413","Other","M","Accepted"
"5414","Other","M","Rejected"
"5415","Other","M","Rejected"
"5416","F","M","Rejected"
"5417","Other","F","Accepted"
"5418","Other","M","Rejected"
"5419","Other","M","Rejected"
"5420","Other","F","Rejected"
"5421","Other","F","Accepted"
"5422","Other","M","Rejected"
"5423","Other","M","Rejected"
"5424","Other","M","Rejected"
"5425","Other","M","Rejected"
"5426","Other","M","Accepted"
"5427","Other","M","Accepted"
"5428","Other","M","Rejected"
"5429","E","F","Rejected"
"5430","F","M","Rejected"
"5431","Other","M","Rejected"
"5432","Other","M","Accepted"
"5433","Other","F","Rejected"
"5434","Other","M","Accepted"
"5435","Other","M","Rejected"
"5436","Other","M","Rejected"
"5437","Other","M","Accepted"
"5438","Other","M","Accepted"
"5439","Other","M","Accepted"
"5440","Other","F","Accepted"
"5441","F","F","Rejected"
"5442","B","M","Rejected"
"5443","Other","M","Accepted"
"5444","Other","M","Accepted"
"5445","Other","M","Rejected"
"5446","Other","M","Rejected"
"5447","Other","M","Rejected"
"5448","D","M","Accepted"
"5449","A","M","Rejected"
"5450","D","M","Accepted"
"5451","F","F","Rejected"
"5452","Other","M","Accepted"
"5453","D","M","Accepted"
"5454","E","F","Rejected"
"5455","Other","M","Rejected"
"5456","Other","M","Rejected"
"5457","Other","M","Accepted"
"5458","Other","M","Rejected"
"5459","Other","M","Accepted"
"5460","D","F","Rejected"
"5461","Other","F","Rejected"
"5462","E","F","Rejected"
"5463","Other","M","Rejected"
"5464","Other","M","Accepted"
"5465","Other","F","Accepted"
"5466","Other","M","Rejected"
"5467","Other","M","Rejected"
"5468","A","M","Accepted"
"5469","Other","F","Rejected"
"5470","D","M","Rejected"
"5471","F","F","Rejected"
"5472","Other","M","Rejected"
"5473","C","F","Rejected"
"5474","Other","M","Rejected"
"5475","Other","M","Rejected"
"5476","Other","M","Rejected"
"5477","A","M","Accepted"
"5478","Other","M","Rejected"
"5479","C","F","Rejected"
"5480","A","M","Accepted"
"5481","A","M","Accepted"
"5482","A","M","Accepted"
"5483","Other","M","Accepted"
"5484","C","F","Rejected"
"5485","Other","M","Accepted"
"5486","Other","M","Rejected"
"5487","Other","M","Accepted"
"5488","Other","F","Rejected"
"5489","A","M","Accepted"
"5490","Other","M","Rejected"
"5491","D","M","Rejected"
"5492","B","M","Accepted"
"5493","Other","F","Rejected"
"5494","B","M","Accepted"
"5495","Other","M","Rejected"
"5496","Other","M","Accepted"
"5497","Other","M","Accepted"
"5498","Other","M","Accepted"
"5499","Other","M","Accepted"
"5500","Other","F","Accepted"
"5501","Other","M","Rejected"
"5502","Other","M","Rejected"
"5503","Other","M","Rejected"
"5504","F","F","Rejected"
"5505","Other","M","Rejected"
"5506","A","M","Accepted"
"5507","Other","M","Rejected"
"5508","A","M","Accepted"
"5509","B","M","Accepted"
"5510","Other","M","Accepted"
"5511","C","M","Accepted"
"5512","C","F","Accepted"
"5513","Other","F","Accepted"
"5514","Other","M","Rejected"
"5515","A","M","Accepted"
"5516","E","F","Rejected"
"5517","Other","F","Rejected"
"5518","F","F","Rejected"
"5519","Other","F","Accepted"
"5520","A","M","Rejected"
"5521","A","M","Accepted"
"5522","Other","M","Rejected"
"5523","Other","M","Accepted"
"5524","Other","M","Accepted"
"5525","Other","F","Rejected"
"5526","C","F","Accepted"
"5527","D","F","Accepted"
"5528","Other","M","Rejected"
"5529","Other","M","Rejected"
"5530","B","M","Accepted"
"5531","A","M","Accepted"
"5532","D","M","Rejected"
"5533","Other","M","Rejected"
"5534","Other","F","Accepted"
"5535","Other","M","Rejected"
"5536","C","F","Rejected"
"5537","Other","F","Rejected"
"5538","Other","F","Rejected"
"5539","Other","M","Accepted"
"5540","Other","M","Accepted"
"5541","Other","M","Rejected"
"5542","A","M","Rejected"
"5543","A","F","Accepted"
"5544","A","M","Accepted"
"5545","Other","F","Accepted"
"5546","D","M","Accepted"
"5547","F","F","Accepted"
"5548","Other","F","Rejected"
"5549","Other","M","Rejected"
"5550","Other","M","Rejected"
"5551","Other","M","Accepted"
"5552","Other","M","Rejected"
"5553","B","M","Rejected"
"5554","C","F","Rejected"
"5555","Other","M","Rejected"
"5556","D","M","Accepted"
"5557","Other","M","Rejected"
"5558","Other","M","Accepted"
"5559","D","M","Rejected"
"5560","Other","F","Rejected"
"5561","Other","F","Accepted"
"5562","C","F","Rejected"
"5563","C","M","Accepted"
"5564","C","F","Accepted"
"5565","Other","F","Accepted"
"5566","Other","M","Rejected"
"5567","Other","M","Rejected"
"5568","E","F","Rejected"
"5569","C","M","Accepted"
"5570","Other","F","Accepted"
"5571","Other","F","Rejected"
"5572","C","M","Rejected"
"5573","A","M","Accepted"
"5574","Other","F","Accepted"
"5575","Other","M","Accepted"
"5576","B","M","Rejected"
"5577","Other","M","Accepted"
"5578","Other","M","Rejected"
"5579","Other","F","Rejected"
"5580","Other","M","Rejected"
"5581","D","M","Rejected"
"5582","Other","M","Rejected"
"5583","Other","M","Accepted"
"5584","Other","F","Rejected"
"5585","Other","F","Accepted"
"5586","F","M","Rejected"
"5587","F","M","Rejected"
"5588","Other","M","Rejected"
"5589","E","F","Rejected"
"5590","C","M","Accepted"
"5591","B","M","Accepted"
"5592","D","M","Rejected"
"5593","B","M","Accepted"
"5594","Other","M","Rejected"
"5595","Other","M","Rejected"
"5596","Other","M","Accepted"
"5597","F","F","Rejected"
"5598","A","F","Accepted"
"5599","Other","M","Rejected"
"5600","Other","F","Rejected"
"5601","F","M","Rejected"
"5602","D","F","Accepted"
"5603","D","F","Rejected"
"5604","A","M","Accepted"
"5605","A","M","Accepted"
"5606","Other","M","Rejected"
"5607","C","M","Rejected"
"5608","C","F","Rejected"
"5609","Other","M","Accepted"
"5610","Other","M","Rejected"
"5611","A","F","Accepted"
"5612","Other","M","Rejected"
"5613","Other","M","Rejected"
"5614","B","M","Rejected"
"5615","Other","M","Rejected"
"5616","Other","F","Accepted"
"5617","Other","F","Rejected"
"5618","B","M","Accepted"
"5619","Other","M","Rejected"
"5620","E","M","Rejected"
"5621","Other","M","Accepted"
"5622","Other","M","Rejected"
"5623","Other","M","Rejected"
"5624","Other","F","Accepted"
"5625","Other","M","Accepted"
"5626","Other","M","Accepted"
"5627","E","M","Rejected"
"5628","Other","M","Rejected"
"5629","B","M","Rejected"
"5630","Other","M","Rejected"
"5631","D","F","Accepted"
"5632","Other","F","Rejected"
"5633","Other","F","Rejected"
"5634","E","M","Rejected"
"5635","Other","M","Rejected"
"5636","Other","M","Accepted"
"5637","Other","M","Rejected"
"5638","Other","M","Accepted"
"5639","A","M","Accepted"
"5640","Other","M","Accepted"
"5641","D","M","Rejected"
"5642","A","M","Accepted"
"5643","A","M","Rejected"
"5644","Other","M","Accepted"
"5645","Other","F","Rejected"
"5646","Other","M","Rejected"
"5647","Other","F","Accepted"
"5648","Other","M","Accepted"
"5649","Other","F","Rejected"
"5650","Other","F","Rejected"
"5651","Other","M","Rejected"
"5652","Other","F","Accepted"
"5653","B","M","Rejected"
"5654","C","M","Accepted"
"5655","Other","M","Rejected"
"5656","Other","M","Accepted"
"5657","F","F","Rejected"
"5658","Other","M","Rejected"
"5659","F","F","Rejected"
"5660","Other","M","Rejected"
"5661","Other","M","Accepted"
"5662","D","M","Accepted"
"5663","C","F","Rejected"
"5664","Other","M","Rejected"
"5665","Other","F","Rejected"
"5666","Other","F","Rejected"
"5667","Other","F","Rejected"
"5668","A","M","Rejected"
"5669","F","M","Rejected"
"5670","A","M","Rejected"
"5671","Other","M","Rejected"
"5672","Other","F","Rejected"
"5673","B","M","Accepted"
"5674","Other","M","Rejected"
"5675","Other","F","Rejected"
"5676","Other","F","Accepted"
"5677","D","M","Rejected"
"5678","D","F","Accepted"
"5679","Other","M","Rejected"
"5680","Other","M","Rejected"
"5681","Other","M","Accepted"
"5682","A","M","Rejected"
"5683","Other","M","Accepted"
"5684","A","M","Rejected"
"5685","Other","M","Accepted"
"5686","Other","F","Accepted"
"5687","A","M","Accepted"
"5688","Other","M","Accepted"
"5689","F","M","Rejected"
"5690","B","M","Rejected"
"5691","D","F","Accepted"
"5692","Other","M","Rejected"
"5693","Other","M","Rejected"
"5694","Other","M","Rejected"
"5695","F","M","Rejected"
"5696","D","F","Rejected"
"5697","Other","M","Rejected"
"5698","Other","M","Accepted"
"5699","Other","M","Accepted"
"5700","C","F","Accepted"
"5701","B","M","Accepted"
"5702","Other","M","Accepted"
"5703","Other","M","Accepted"
"5704","C","F","Rejected"
"5705","Other","M","Accepted"
"5706","E","F","Rejected"
"5707","A","M","Rejected"
"5708","Other","F","Rejected"
"5709","Other","M","Rejected"
"5710","Other","F","Accepted"
"5711","Other","M","Rejected"
"5712","Other","M","Accepted"
"5713","A","M","Accepted"
"5714","Other","F","Rejected"
"5715","B","M","Accepted"
"5716","F","F","Rejected"
"5717","D","M","Rejected"
"5718","Other","M","Rejected"
"5719","Other","M","Rejected"
"5720","Other","M","Accepted"
"5721","Other","F","Accepted"
"5722","Other","F","Accepted"
"5723","Other","F","Rejected"
"5724","F","F","Accepted"
"5725","Other","M","Rejected"
"5726","Other","M","Accepted"
"5727","Other","F","Accepted"
"5728","Other","F","Accepted"
"5729","Other","M","Rejected"
"5730","Other","M","Rejected"
"5731","B","M","Accepted"
"5732","A","M","Accepted"
"5733","Other","M","Rejected"
"5734","B","M","Accepted"
"5735","Other","M","Accepted"
"5736","Other","M","Accepted"
"5737","C","M","Accepted"
"5738","Other","F","Accepted"
"5739","Other","M","Rejected"
"5740","A","M","Accepted"
"5741","Other","M","Rejected"
"5742","Other","M","Rejected"
"5743","E","F","Rejected"
"5744","Other","M","Rejected"
"5745","Other","M","Rejected"
"5746","Other","M","Accepted"
"5747","A","M","Rejected"
"5748","Other","M","Rejected"
"5749","Other","M","Rejected"
"5750","Other","M","Accepted"
"5751","Other","F","Accepted"
"5752","Other","F","Accepted"
"5753","Other","F","Rejected"
"5754","Other","M","Accepted"
"5755","Other","M","Accepted"
"5756","Other","M","Rejected"
"5757","Other","M","Accepted"
"5758","Other","M","Accepted"
"5759","Other","M","Rejected"
"5760","Other","M","Accepted"
"5761","Other","M","Rejected"
"5762","A","M","Rejected"
"5763","Other","M","Accepted"
"5764","Other","F","Rejected"
"5765","C","F","Rejected"
"5766","A","M","Accepted"
"5767","Other","F","Accepted"
"5768","C","F","Accepted"
"5769","B","M","Accepted"
"5770","Other","M","Accepted"
"5771","Other","M","Rejected"
"5772","C","M","Rejected"
"5773","B","M","Accepted"
"5774","Other","M","Accepted"
"5775","Other","M","Accepted"
"5776","Other","M","Rejected"
"5777","Other","M","Accepted"
"5778","Other","M","Accepted"
"5779","Other","M","Accepted"
"5780","Other","M","Rejected"
"5781","B","M","Rejected"
"5782","A","M","Accepted"
"5783","Other","M","Accepted"
"5784","E","M","Accepted"
"5785","Other","M","Rejected"
"5786","F","M","Rejected"
"5787","Other","M","Rejected"
"5788","F","M","Rejected"
"5789","Other","M","Rejected"
"5790","Other","M","Rejected"
"5791","D","M","Accepted"
"5792","D","F","Rejected"
"5793","Other","M","Accepted"
"5794","C","M","Rejected"
"5795","A","F","Accepted"
"5796","E","M","Rejected"
"5797","Other","F","Accepted"
"5798","F","M","Rejected"
"5799","Other","F","Rejected"
"5800","Other","M","Accepted"
"5801","Other","M","Accepted"
"5802","Other","F","Rejected"
"5803","Other","M","Rejected"
"5804","Other","M","Accepted"
"5805","Other","M","Accepted"
"5806","Other","F","Rejected"
"5807","Other","M","Rejected"
"5808","E","F","Rejected"
"5809","Other","F","Accepted"
"5810","C","M","Accepted"
"5811","A","M","Rejected"
"5812","Other","M","Rejected"
"5813","Other","M","Accepted"
"5814","Other","M","Accepted"
"5815","Other","M","Accepted"
"5816","Other","F","Rejected"
"5817","Other","M","Rejected"
"5818","F","F","Rejected"
"5819","Other","M","Accepted"
"5820","C","M","Rejected"
"5821","C","F","Accepted"
"5822","Other","F","Rejected"
"5823","Other","F","Rejected"
"5824","C","F","Accepted"
"5825","Other","F","Rejected"
"5826","F","F","Rejected"
"5827","Other","F","Rejected"
"5828","Other","F","Accepted"
"5829","A","M","Accepted"
"5830","Other","F","Accepted"
"5831","Other","M","Accepted"
"5832","C","F","Accepted"
"5833","A","M","Accepted"
"5834","Other","M","Rejected"
"5835","Other","F","Accepted"
"5836","D","M","Rejected"
"5837","Other","M","Accepted"
"5838","Other","M","Rejected"
"5839","Other","M","Accepted"
"5840","E","F","Accepted"
"5841","Other","M","Accepted"
"5842","A","F","Rejected"
"5843","Other","F","Rejected"
"5844","Other","M","Accepted"
"5845","B","M","Rejected"
"5846","Other","M","Rejected"
"5847","Other","M","Rejected"
"5848","Other","F","Accepted"
"5849","Other","M","Accepted"
"5850","Other","M","Rejected"
"5851","A","M","Rejected"
"5852","Other","M","Rejected"
"5853","F","F","Rejected"
"5854","Other","M","Rejected"
"5855","F","F","Rejected"
"5856","A","M","Rejected"
"5857","Other","M","Rejected"
"5858","A","M","Accepted"
"5859","A","M","Accepted"
"5860","E","M","Accepted"
"5861","F","M","Rejected"
"5862","Other","F","Accepted"
"5863","Other","M","Rejected"
"5864","Other","F","Rejected"
"5865","Other","M","Rejected"
"5866","Other","M","Rejected"
"5867","A","M","Accepted"
"5868","Other","M","Rejected"
"5869","C","F","Rejected"
"5870","D","F","Rejected"
"5871","Other","M","Rejected"
"5872","Other","M","Rejected"
"5873","B","M","Rejected"
"5874","Other","F","Rejected"
"5875","Other","M","Rejected"
"5876","Other","F","Accepted"
"5877","Other","M","Accepted"
"5878","F","F","Rejected"
"5879","C","M","Accepted"
"5880","Other","M","Accepted"
"5881","Other","M","Accepted"
"5882","Other","M","Accepted"
"5883","C","F","Rejected"
"5884","Other","F","Accepted"
"5885","F","M","Rejected"
"5886","Other","F","Rejected"
"5887","Other","F","Rejected"
"5888","Other","M","Accepted"
"5889","A","M","Accepted"
"5890","A","M","Accepted"
"5891","D","F","Accepted"
"5892","A","M","Accepted"
"5893","Other","F","Rejected"
"5894","D","M","Rejected"
"5895","F","M","Rejected"
"5896","Other","M","Rejected"
"5897","Other","M","Rejected"
"5898","Other","M","Rejected"
"5899","Other","M","Accepted"
"5900","E","F","Rejected"
"5901","Other","M","Rejected"
"5902","Other","F","Rejected"
"5903","Other","F","Accepted"
"5904","F","M","Rejected"
"5905","F","M","Rejected"
"5906","Other","M","Accepted"
"5907","Other","F","Rejected"
"5908","Other","M","Accepted"
"5909","Other","F","Rejected"
"5910","D","F","Accepted"
"5911","C","F","Rejected"
"5912","A","M","Accepted"
"5913","Other","M","Rejected"
"5914","Other","M","Rejected"
"5915","Other","M","Accepted"
"5916","F","M","Rejected"
"5917","Other","M","Rejected"
"5918","Other","F","Accepted"
"5919","Other","F","Accepted"
"5920","C","F","Accepted"
"5921","A","M","Accepted"
"5922","Other","M","Rejected"
"5923","A","M","Rejected"
"5924","E","F","Rejected"
"5925","Other","M","Accepted"
"5926","Other","M","Accepted"
"5927","Other","M","Accepted"
"5928","Other","F","Accepted"
"5929","A","M","Rejected"
"5930","Other","F","Rejected"
"5931","Other","F","Rejected"
"5932","C","F","Accepted"
"5933","D","M","Accepted"
"5934","Other","M","Rejected"
"5935","A","M","Rejected"
"5936","Other","F","Accepted"
"5937","Other","M","Accepted"
"5938","Other","F","Accepted"
"5939","Other","M","Rejected"
"5940","Other","F","Rejected"
"5941","A","M","Accepted"
"5942","Other","M","Rejected"
"5943","B","M","Rejected"
"5944","C","M","Rejected"
"5945","F","F","Rejected"
"5946","Other","M","Rejected"
"5947","Other","M","Accepted"
"5948","A","M","Accepted"
"5949","E","F","Rejected"
"5950","D","M","Rejected"
"5951","Other","M","Rejected"
"5952","Other","M","Rejected"
"5953","Other","M","Rejected"
"5954","B","M","Rejected"
"5955","Other","M","Accepted"
"5956","A","M","Accepted"
"5957","C","F","Rejected"
"5958","Other","F","Accepted"
"5959","Other","F","Accepted"
"5960","B","M","Rejected"
"5961","Other","M","Rejected"
"5962","Other","M","Rejected"
"5963","Other","M","Rejected"
"5964","D","F","Rejected"
"5965","A","M","Rejected"
"5966","D","F","Rejected"
"5967","E","F","Rejected"
"5968","Other","M","Rejected"
"5969","E","M","Rejected"
"5970","Other","M","Accepted"
"5971","Other","M","Rejected"
"5972","B","M","Accepted"
"5973","A","M","Accepted"
"5974","C","F","Rejected"
"5975","Other","M","Rejected"
"5976","D","M","Accepted"
"5977","Other","M","Rejected"
"5978","D","M","Rejected"
"5979","E","M","Rejected"
"5980","Other","F","Rejected"
"5981","Other","M","Rejected"
"5982","Other","M","Accepted"
"5983","C","F","Rejected"
"5984","Other","F","Rejected"
"5985","Other","F","Rejected"
"5986","A","M","Accepted"
"5987","Other","M","Rejected"
"5988","Other","M","Accepted"
"5989","F","M","Rejected"
"5990","Other","M","Accepted"
"5991","Other","F","Rejected"
"5992","B","M","Rejected"
"5993","Other","M","Accepted"
"5994","Other","M","Rejected"
"5995","Other","F","Accepted"
"5996","A","M","Accepted"
"5997","C","F","Rejected"
"5998","A","M","Accepted"
"5999","Other","F","Accepted"
"6000","A","M","Accepted"
"6001","Other","M","Rejected"
"6002","Other","F","Accepted"
"6003","Other","F","Rejected"
"6004","Other","M","Accepted"
"6005","E","F","Accepted"
"6006","E","F","Rejected"
"6007","A","M","Accepted"
"6008","C","M","Rejected"
"6009","Other","F","Rejected"
"6010","C","F","Rejected"
"6011","A","M","Accepted"
"6012","Other","M","Accepted"
"6013","A","M","Accepted"
"6014","Other","F","Rejected"
"6015","Other","M","Rejected"
"6016","C","F","Rejected"
"6017","E","F","Rejected"
"6018","Other","M","Accepted"
"6019","Other","F","Accepted"
"6020","Other","M","Rejected"
"6021","Other","M","Accepted"
"6022","Other","M","Rejected"
"6023","Other","M","Rejected"
"6024","Other","M","Rejected"
"6025","Other","M","Accepted"
"6026","Other","M","Rejected"
"6027","Other","F","Rejected"
"6028","Other","M","Rejected"
"6029","Other","F","Rejected"
"6030","Other","M","Rejected"
"6031","Other","M","Rejected"
"6032","E","F","Rejected"
"6033","Other","M","Accepted"
"6034","C","F","Accepted"
"6035","E","F","Accepted"
"6036","Other","M","Rejected"
"6037","D","M","Accepted"
"6038","Other","M","Accepted"
"6039","Other","F","Rejected"
"6040","D","M","Accepted"
"6041","Other","M","Rejected"
"6042","Other","M","Accepted"
"6043","C","F","Rejected"
"6044","Other","M","Accepted"
"6045","Other","M","Rejected"
"6046","B","M","Rejected"
"6047","Other","M","Rejected"
"6048","Other","M","Accepted"
"6049","B","M","Accepted"
"6050","Other","M","Rejected"
"6051","F","M","Rejected"
"6052","Other","M","Rejected"
"6053","Other","M","Rejected"
"6054","Other","M","Rejected"
"6055","D","M","Rejected"
"6056","Other","M","Accepted"
"6057","E","F","Accepted"
"6058","Other","M","Rejected"
"6059","A","F","Rejected"
"6060","Other","M","Rejected"
"6061","C","F","Accepted"
"6062","Other","M","Rejected"
"6063","Other","M","Accepted"
"6064","Other","M","Rejected"
"6065","Other","M","Rejected"
"6066","A","M","Accepted"
"6067","Other","F","Accepted"
"6068","B","M","Accepted"
"6069","Other","M","Rejected"
"6070","Other","M","Accepted"
"6071","Other","F","Accepted"
"6072","Other","F","Rejected"
"6073","A","M","Accepted"
"6074","C","M","Rejected"
"6075","Other","M","Accepted"
"6076","Other","M","Rejected"
"6077","Other","M","Rejected"
"6078","A","M","Accepted"
"6079","Other","F","Accepted"
"6080","Other","F","Accepted"
"6081","Other","M","Rejected"
"6082","Other","M","Rejected"
"6083","C","F","Accepted"
"6084","Other","M","Accepted"
"6085","C","F","Rejected"
"6086","Other","M","Rejected"
"6087","A","M","Rejected"
"6088","Other","M","Rejected"
"6089","Other","M","Rejected"
"6090","F","F","Rejected"
"6091","Other","M","Rejected"
"6092","Other","M","Rejected"
"6093","Other","M","Rejected"
"6094","F","F","Rejected"
"6095","Other","M","Accepted"
"6096","A","M","Accepted"
"6097","Other","M","Rejected"
"6098","Other","M","Accepted"
"6099","C","M","Rejected"
"6100","C","F","Accepted"
"6101","E","F","Accepted"
"6102","E","F","Rejected"
"6103","Other","F","Accepted"
"6104","E","M","Rejected"
"6105","C","F","Rejected"
"6106","Other","M","Accepted"
"6107","Other","M","Rejected"
"6108","E","F","Rejected"
"6109","Other","M","Rejected"
"6110","Other","F","Rejected"
"6111","A","M","Accepted"
"6112","Other","M","Rejected"
"6113","E","F","Rejected"
"6114","C","F","Accepted"
"6115","Other","M","Rejected"
"6116","C","F","Rejected"
"6117","Other","M","Rejected"
"6118","Other","M","Rejected"
"6119","F","F","Rejected"
"6120","F","M","Rejected"
"6121","A","M","Rejected"
"6122","A","M","Accepted"
"6123","F","M","Rejected"
"6124","Other","M","Rejected"
"6125","Other","M","Rejected"
"6126","E","F","Rejected"
"6127","Other","F","Accepted"
"6128","Other","F","Accepted"
"6129","A","M","Rejected"
"6130","Other","M","Rejected"
"6131","Other","M","Rejected"
"6132","Other","M","Accepted"
"6133","E","F","Rejected"
"6134","D","M","Rejected"
"6135","C","M","Rejected"
"6136","Other","M","Rejected"
"6137","Other","M","Accepted"
"6138","Other","M","Accepted"
"6139","Other","F","Rejected"
"6140","Other","M","Rejected"
"6141","Other","M","Accepted"
"6142","B","M","Accepted"
"6143","Other","F","Rejected"
"6144","E","M","Rejected"
"6145","E","F","Rejected"
"6146","Other","M","Accepted"
"6147","D","M","Accepted"
"6148","F","F","Rejected"
"6149","Other","M","Accepted"
"6150","Other","F","Rejected"
"6151","C","F","Accepted"
"6152","Other","M","Rejected"
"6153","Other","M","Accepted"
"6154","Other","M","Rejected"
"6155","Other","M","Accepted"
"6156","A","M","Rejected"
"6157","Other","F","Rejected"
"6158","F","F","Rejected"
"6159","A","M","Accepted"
"6160","Other","M","Accepted"
"6161","D","M","Accepted"
"6162","Other","F","Rejected"
"6163","A","M","Accepted"
"6164","D","M","Rejected"
"6165","Other","M","Accepted"
"6166","F","M","Rejected"
"6167","Other","M","Accepted"
"6168","Other","M","Accepted"
"6169","Other","M","Rejected"
"6170","Other","M","Rejected"
"6171","Other","M","Rejected"
"6172","D","F","Rejected"
"6173","Other","M","Rejected"
"6174","F","M","Rejected"
"6175","Other","M","Rejected"
"6176","Other","M","Rejected"
"6177","D","M","Rejected"
"6178","F","M","Rejected"
"6179","Other","M","Accepted"
"6180","Other","M","Accepted"
"6181","Other","M","Rejected"
"6182","Other","M","Accepted"
"6183","D","M","Rejected"
"6184","Other","M","Rejected"
"6185","Other","F","Rejected"
"6186","A","M","Accepted"
"6187","Other","M","Accepted"
"6188","Other","F","Rejected"
"6189","D","M","Rejected"
"6190","Other","F","Rejected"
"6191","F","M","Rejected"
"6192","Other","M","Accepted"
"6193","Other","M","Rejected"
"6194","Other","M","Accepted"
"6195","F","M","Rejected"
"6196","Other","M","Accepted"
"6197","Other","M","Accepted"
"6198","Other","F","Rejected"
"6199","Other","M","Rejected"
"6200","Other","M","Accepted"
"6201","Other","F","Rejected"
"6202","B","M","Accepted"
"6203","Other","F","Rejected"
"6204","Other","F","Rejected"
"6205","Other","F","Accepted"
"6206","Other","F","Accepted"
"6207","Other","M","Accepted"
"6208","Other","M","Rejected"
"6209","D","F","Rejected"
"6210","B","M","Rejected"
"6211","Other","M","Rejected"
"6212","Other","M","Accepted"
"6213","Other","M","Accepted"
"6214","A","M","Accepted"
"6215","F","M","Rejected"
"6216","C","F","Rejected"
"6217","Other","M","Accepted"
"6218","Other","F","Rejected"
"6219","Other","M","Accepted"
"6220","Other","M","Rejected"
"6221","Other","M","Rejected"
"6222","Other","M","Rejected"
"6223","Other","M","Rejected"
"6224","Other","F","Accepted"
"6225","Other","F","Accepted"
"6226","Other","F","Accepted"
"6227","Other","M","Accepted"
"6228","E","M","Rejected"
"6229","Other","M","Accepted"
"6230","Other","M","Rejected"
"6231","Other","F","Accepted"
"6232","Other","M","Accepted"
"6233","F","M","Rejected"
"6234","Other","M","Accepted"
"6235","D","F","Rejected"
"6236","A","M","Accepted"
"6237","A","M","Accepted"
"6238","Other","M","Rejected"
"6239","C","F","Rejected"
"6240","Other","F","Rejected"
"6241","D","F","Rejected"
"6242","Other","F","Rejected"
"6243","C","F","Accepted"
"6244","C","M","Accepted"
"6245","Other","F","Rejected"
"6246","E","M","Rejected"
"6247","D","M","Accepted"
"6248","C","F","Rejected"
"6249","Other","F","Rejected"
"6250","Other","M","Rejected"
"6251","A","F","Accepted"
"6252","E","F","Rejected"
"6253","C","F","Rejected"
"6254","Other","F","Accepted"
"6255","Other","F","Accepted"
"6256","Other","F","Rejected"
"6257","Other","M","Rejected"
"6258","B","M","Accepted"
"6259","Other","F","Accepted"
"6260","B","M","Rejected"
"6261","Other","F","Rejected"
"6262","Other","M","Accepted"
"6263","Other","F","Accepted"
"6264","A","M","Accepted"
"6265","Other","M","Accepted"
"6266","Other","M","Accepted"
"6267","Other","M","Rejected"
"6268","Other","F","Rejected"
"6269","Other","M","Accepted"
"6270","A","M","Accepted"
"6271","D","M","Rejected"
"6272","Other","F","Rejected"
"6273","Other","M","Rejected"
"6274","E","F","Rejected"
"6275","Other","F","Accepted"
"6276","Other","M","Rejected"
"6277","Other","M","Accepted"
"6278","Other","F","Rejected"
"6279","Other","M","Accepted"
"6280","Other","M","Rejected"
"6281","Other","M","Rejected"
"6282","B","M","Rejected"
"6283","Other","M","Rejected"
"6284","Other","F","Rejected"
"6285","A","M","Accepted"
"6286","Other","M","Rejected"
"6287","A","M","Accepted"
"6288","Other","M","Rejected"
"6289","F","M","Rejected"
"6290","C","F","Rejected"
"6291","Other","M","Rejected"
"6292","Other","M","Accepted"
"6293","D","M","Rejected"
"6294","Other","M","Rejected"
"6295","D","M","Rejected"
"6296","A","M","Rejected"
"6297","A","M","Accepted"
"6298","F","F","Rejected"
"6299","Other","F","Rejected"
"6300","Other","M","Rejected"
"6301","Other","F","Rejected"
"6302","Other","M","Rejected"
"6303","Other","F","Rejected"
"6304","B","M","Accepted"
"6305","Other","M","Accepted"
"6306","Other","F","Accepted"
"6307","B","M","Accepted"
"6308","F","F","Rejected"
"6309","Other","M","Rejected"
"6310","Other","M","Accepted"
"6311","A","M","Accepted"
"6312","E","M","Rejected"
"6313","Other","M","Accepted"
"6314","Other","F","Rejected"
"6315","A","M","Accepted"
"6316","C","M","Rejected"
"6317","Other","F","Rejected"
"6318","C","M","Accepted"
"6319","A","M","Accepted"
"6320","E","M","Accepted"
"6321","C","F","Rejected"
"6322","Other","F","Accepted"
"6323","Other","M","Rejected"
"6324","Other","M","Rejected"
"6325","C","F","Rejected"
"6326","B","M","Accepted"
"6327","A","M","Accepted"
"6328","E","F","Rejected"
"6329","Other","M","Rejected"
"6330","Other","M","Rejected"
"6331","C","F","Rejected"
"6332","C","F","Accepted"
"6333","Other","M","Rejected"
"6334","Other","F","Rejected"
"6335","F","F","Rejected"
"6336","A","M","Accepted"
"6337","A","M","Accepted"
"6338","Other","M","Rejected"
"6339","Other","F","Rejected"
"6340","Other","F","Rejected"
"6341","Other","M","Accepted"
"6342","Other","M","Accepted"
"6343","Other","M","Accepted"
"6344","D","M","Rejected"
"6345","A","M","Accepted"
"6346","Other","F","Rejected"
